"","X","Doses","dose1","dose2","dose3","E40","c0.1","c11.99","c12.01","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c59.99","c60.1","c71.99","c72.1","flagged","B=b1d1+b2d2+b3d3"
"251",251,"4.2,4.2,3.9",4.2,4.2,3.9,0.8393,11.7826,4.5292,4.5029,2.0254,13.777,4.3047,4.2743,1.6721,12.5765,3.3727,3.346,1.1985,1.1894,1,1.10857473531104
"252",252,"4.7,4.2,0",4.7,4.2,0,0.9733,13.1853,5.0684,5.039,2.2665,14.0166,4.4065,4.3754,1.7143,1.7022,0.6681,0.6635,0.2811,0.2794,0,1.2222492425758
"253",253,"4.2,3.5,0",4.2,3.5,0,0.7375,11.7826,4.5292,4.5029,2.0254,11.8163,3.7297,3.7034,1.4526,1.4423,0.5673,0.5634,0.2397,0.2383,0,1.08883978091407
"254",254,"5.5,5.4,4.2",5.5,5.4,4.2,1,15.4296,5.9311,5.8967,2.6523,17.7612,5.555,5.5157,2.1582,13.899,3.7715,3.7418,1.3493,1.3391,1,1.44795400419506
"255",255,"4.8,4.2,0",4.8,4.2,0,0.9822,13.4658,5.1762,5.1462,2.3147,14.0645,4.4268,4.3956,1.7228,1.7105,0.6719,0.6672,0.283,0.2814,1,1.24706056449376
"256",256,"4.2,3.8,3.4",4.2,3.8,3.4,0.7708,11.7826,4.5292,4.5029,2.0254,12.6566,3.9761,3.9481,1.5466,11.0525,2.9766,2.9532,1.0616,1.0535,0,1.10189920965319
"257",257,"4.3,4.2,0",4.3,4.2,0,0.8812,12.0631,4.6371,4.6101,2.0736,13.8249,4.3251,4.2945,1.6805,1.6686,0.6532,0.6487,0.2733,0.2717,0,1.12300395490393
"258",258,"4.2,0,0",4.2,0,0,0.6959,11.7826,4.5292,4.5029,2.0254,2.0127,0.8545,0.8489,0.355,0.3527,0.1568,0.1559,0.0817,0.0813,0,1.04207552055465
"259",259,"4.2,4,3",4.2,4,3,0.8013,11.7826,4.5292,4.5029,2.0254,13.2167,4.1404,4.1112,1.6093,9.9951,2.7208,2.6994,0.9755,0.9682,0,1.1035066220946
"260",260,"4.2,3.9,3.2",4.2,3.9,3.2,0.7853,11.7826,4.5292,4.5029,2.0254,12.9367,4.0583,4.0296,1.578,10.5238,2.8487,2.8263,1.0185,1.0109,0,1.1027029158739
"261",261,"4.2,3.9,3.6",4.2,3.9,3.6,0.7856,11.7826,4.5292,4.5029,2.0254,12.9367,4.0583,4.0296,1.578,11.6434,3.128,3.1033,1.1136,1.1052,1,1.1037677468816
"262",262,"5.4,4.2,4.2",5.4,4.2,4.2,0.9987,15.149,5.8233,5.7894,2.6041,14.352,4.5489,4.5168,1.7735,13.517,3.627,3.5984,1.2931,1.2834,1,1.40710922158243
"263",263,"5.4,5.1,4.2",5.4,5.1,4.2,0.9999,15.149,5.8233,5.7894,2.6041,16.873,5.2882,5.2508,2.0557,13.7972,3.7325,3.7032,1.3338,1.3237,1,1.41913431710342
"264",264,"4.7,4.6,4.2",4.7,4.6,4.2,0.9907,13.1853,5.0684,5.039,2.2665,15.137,4.735,4.7016,1.8398,13.5828,3.6478,3.619,1.2976,1.2878,1,1.23877445505487
"265",265,"4.2,4,3.3",4.2,4,3.3,0.8015,11.7826,4.5292,4.5029,2.0254,13.2167,4.1404,4.1112,1.6093,10.8348,2.9303,2.9072,1.0468,1.0389,0,1.10430524535038
"266",266,"4.2,3.6,3.4",4.2,3.6,3.4,0.7469,11.7826,4.5292,4.5029,2.0254,12.0964,3.8118,3.785,1.4839,10.9902,2.9532,2.9299,1.0525,1.0446,0,1.09922696620408
"267",267,"4.2,3.9,3",4.2,3.9,3,0.7852,11.7826,4.5292,4.5029,2.0254,12.9367,4.0583,4.0296,1.578,9.964,2.7091,2.6878,0.971,0.9637,0,1.10217050037005
"268",268,"4.2,4,0",4.2,4,0,0.8011,11.7826,4.5292,4.5029,2.0254,13.2167,4.1404,4.1112,1.6093,1.5979,0.626,0.6217,0.2623,0.2608,0,1.09552038953685
"269",269,"5,4.2,3.4",5,4.2,3.4,0.9924,14.0269,5.3919,5.3606,2.4112,14.1604,4.4675,4.436,1.7397,11.2442,3.0534,3.0294,1.0952,1.087,1,1.30573427189516
"270",270,"4.7,4.2,3.4",4.7,4.2,3.4,0.9737,13.1853,5.0684,5.039,2.2665,14.0166,4.4065,4.3754,1.7143,11.219,3.0422,3.0183,1.0894,1.0812,1,1.23130030614125
"271",271,"4.6,4.4,4.2",4.6,4.4,4.2,0.9759,12.9047,4.9606,4.9317,2.2183,14.5288,4.5504,4.5182,1.7686,13.5121,3.6206,3.592,1.2866,1.2769,1,1.2112908896878
"272",272,"5.3,4.2,3.1",5.3,4.2,3.1,0.9978,14.8685,5.7154,5.6822,2.5558,14.3041,4.5285,4.4966,1.765,10.4296,2.8551,2.8328,1.0297,1.022,1,1.37936961439328
"273",273,"4.7,4.2,4",4.7,4.2,4,0.9746,13.1853,5.0684,5.039,2.2665,14.0166,4.4065,4.3754,1.7143,12.8984,3.4612,3.4339,1.232,1.2227,1,1.2328975526528
"274",274,"4.5,4.2,3.5",4.5,4.2,3.5,0.9424,12.6242,4.8527,4.8245,2.1701,13.9207,4.3657,4.3349,1.6974,11.4821,3.1046,3.0801,1.1092,1.1009,1,1.18194387005724
"275",275,"5,4.2,3.1",5,4.2,3.1,0.9923,14.0269,5.3919,5.3606,2.4112,14.1604,4.4675,4.436,1.7397,10.4045,2.844,2.8217,1.0239,1.0162,1,1.30493564863938
"276",276,"4.7,4.2,3.1",4.7,4.2,3.1,0.9735,13.1853,5.0684,5.039,2.2665,14.0166,4.4065,4.3754,1.7143,10.3793,2.8327,2.8105,1.018,1.0104,1,1.23050168288548
"277",277,"4.8,4.6,4.2",4.8,4.6,4.2,0.994,13.4658,5.1762,5.1462,2.3147,15.1849,4.7554,4.7218,1.8482,13.5912,3.6515,3.6227,1.2995,1.2897,1,1.26358577697284
"278",278,"4.2,3.5,0",4.2,3.5,0,0.7375,11.7826,4.5292,4.5029,2.0254,11.8163,3.7297,3.7034,1.4526,1.4423,0.5673,0.5634,0.2397,0.2383,0,1.08883978091407
"279",279,"4.7,4.2,3.5",4.7,4.2,3.5,0.9738,13.1853,5.0684,5.039,2.2665,14.0166,4.4065,4.3754,1.7143,11.4989,3.1121,3.0876,1.1131,1.1048,1,1.23156651389318
"280",280,"4.7,4.2,4.1",4.7,4.2,4.1,0.9748,13.1853,5.0684,5.039,2.2665,14.0166,4.4065,4.3754,1.7143,13.1783,3.531,3.5031,1.2558,1.2462,1,1.23316376040473
"281",281,"4.2,3.5,0",4.2,3.5,0,0.7375,11.7826,4.5292,4.5029,2.0254,11.8163,3.7297,3.7034,1.4526,1.4423,0.5673,0.5634,0.2397,0.2383,0,1.08883978091407
"282",282,"5.1,4.2,0",5.1,4.2,0,0.9949,14.3074,5.4998,5.4678,2.4594,14.2082,4.4878,4.4562,1.7481,1.7357,0.683,0.6784,0.2889,0.2872,1,1.32149453024767
"283",283,"4.6,4.2,0",4.6,4.2,0,0.9603,12.9047,4.9606,4.9317,2.2183,13.9687,4.3861,4.3552,1.7059,1.6938,0.6644,0.6598,0.2791,0.2775,0,1.19743792065783
"284",284,"4.4,4.2,0",4.4,4.2,0,0.9159,12.3436,4.7449,4.7173,2.1218,13.8728,4.3454,4.3147,1.689,1.677,0.6569,0.6524,0.2752,0.2736,0,1.14781527682189
"285",285,"4.6,4.2,3.9",4.6,4.2,3.9,0.9616,12.9047,4.9606,4.9317,2.2183,13.9687,4.3861,4.3552,1.7059,12.6101,3.3876,3.3609,1.2063,1.1971,1,1.20782002298291
"286",286,"4.6,4.3,3.6",4.6,4.3,3.6,0.968,12.9047,4.9606,4.9317,2.2183,14.2488,4.4682,4.4367,1.7372,11.8015,3.1899,3.1648,1.1395,1.1309,1,1.20835752145169
"287",287,"4.3,4.1,0",4.3,4.1,0,0.8653,12.0631,4.6371,4.6101,2.0736,13.5448,4.2429,4.2129,1.6492,1.6374,0.6415,0.637,0.2688,0.2672,0,1.12166783317937
"288",288,"4.3,3.4,3.2",4.3,3.4,3.2,0.7772,12.0631,4.6371,4.6101,2.0736,11.5841,3.6679,3.642,1.4296,10.3765,2.7938,2.7718,0.9979,0.9904,0,1.12083362916909
